Obec,Unnamed: 1,Druh dokumentace,Název dokumentace,Číslo dokumentace,Zahájení prací - schválení / rozhodnutí o pořízení 101,Zadání - zahájení projednání 103,Zadání - ukončení projednání 104,Zadání - schválení 105,Koncept řešení - odevzdání 106,Koncept řešení - zahájení projednání 107,Koncept řešení - ukončení projednání 108,Návrh - odevzdání 112,Návrh - zahájení projednání 113,Návrh - ukončení projednání 114,Návrh – stanovisko krajského úřadu / nadřízeného orgánu územního plánování 115,Návrh – vydání / schválení 116,Návrh - nabytí účinnosti 117
Loket,,Územní plán,Územní plán Loket,95898072,03.03.2016,,,18.12.2016,,,,,,,,,31.12.2021
,Loket,Územní plán,Změna č. 1 ÚP Loket,973891953185,,,,30.06.2022,,,,,,,,,28.02.2024
Zdislavice,,Územní plán,Územní plán Zdislavice,71810548,30.08.2017,,,24.10.2018,,,,,,,,,20.01.2021
Ctiboř,,Územní plán,Územní plán Ctiboř,82990663,19.09.2016,,,09.11.2016,,,,,,,,,03.11.2019
Heřmaničky,,Územní plán,Územní plán Heřmaničky,12459529,29.04.2016,,,21.09.2016,,,,,,,,,24.05.2019
,Heřmaničky,Územní plán,Změna č. 2 ÚP Heřmaničky,1245952902,09.12.2020,,,09.12.2020,,,,,,,,,11.11.2021
,Heřmaničky,Územní plán,Změna č. 1 ÚP Heřmaničky,1245952901,13.05.2020,,,13.05.2020,,,,,,,,,02.04.2021
,Heřmaničky,Územní plán,Změna č. 3 ÚP Heřmaničky,973891950491,14.09.2022,,,14.09.2022,,,,,,,,,09.04.2024
Křemže,,Územní plán,Územní plán Křemže,59125917,14.05.2012,,,19.03.2013,,,,,,,,,27.10.2018
,Křemže,Územní plán,Změna č. 1,973891952629,27.06.2019,,,22.06.2021,,,,,,,,,25.10.2023
Petrovice u Sušice,,Územní plán,Územní plán Petrovice u Sušice,30021304,19.12.2018,28.08.2019,,13.12.2019,,20.07.2020,,,07.04.2021,29.06.2021,,20.10.2021,05.11.2021
Věžovatá Pláně,,Územní plán,Územní plán Věžovatá Pláně,99703614,29.11.2017,,,19.03.2019,,,,,,,,,02.07.2021
Příluka,,Územní plán,Územní plán Příluka,35213870,07.01.2019,,,11.05.2020,,,,,,,,,01.12.2021
Odřepsy,,Územní plán,Územní plán Odřepsy,62820070,25.09.2017,,,09.09.2019,,,,,,,,,29.07.2023
Křešín,,Územní plán obce,Územní plán vojenského újezdu Brdy,88111512,17.07.2001,28.11.2002,,28.04.2003,02.12.2003,12.07.2004,,,,,15.08.2005,25.08.2005,
Rešice,,Územní plán,ÚP Rešice,77109926,,06.02.2019,,25.03.2019,,,,,18.06.2019,,11.11.2019,27.04.2020,15.05.2020
,Rešice,Územní plán,Změna č. 1 ÚP Rešice,7710992601,,18.10.2021,,25.03.2022,,,,,17.05.2022,,02.08.2022,,05.10.2022
Neveklovice,,Územní plán,Územní plán Neveklovice,41918581,22.08.2019,,,10.11.2019,,,,,,,,,16.06.2021
Podmyče,,Územní plán,Územní plán Podmyče,64440553,28.06.2019,,,27.12.2019,,,,,,,,,07.05.2022
Vítonice,,Územní plán,Územní plán Vítonice,539363,17.09.2019,,,17.02.2020,,,,,,,,,25.06.2022
Nedvězí,,Územní plán,Územní plán Nedvězí,17310733,29.08.2019,,,26.11.2019,,,,,,,,,16.07.2022
Nová Sídla,,Územní plán,Územní plán Nová Sídla,93917481,12.03.2019,,,01.10.2019,,,,,,,,,18.03.2022
Třebsko,,Územní plán,Územní plán Třebsko,93618409,22.03.2017,,,25.10.2017,,,,,,,,,16.11.2019
Jiřice u Moravských Budějovic,,Územní plán,Územní plán Jiřice u Moravských Budějovic,15595645,18.02.2019,,,06.05.2019,,,,,,,,,22.05.2021
Dolní Lukavice,,Územní plán,Územní plán Dolní Lukavice,29966372,12.12.2018,18.11.2019,18.12.2019,16.01.2020,,,,02.11.2020,29.03.2021,19.06.2021,,09.06.2022,25.06.2022
,Dolní Lukavice,Územní plán,Změna č.1 územního plánu Dolní Lukavice,973891954395,15.10.2024,19.02.2025,19.03.2025,15.04.2025,,,,,,,,,
Ořechov,,Územní plán,Územní plán Ořechov (nový),92628114,16.09.2019,25.11.2019,,03.02.2020,,,,,,,,,
Radošovice,,Územní plán,Územní plán Radošovice,87838380,30.05.2016,,,,,,,,,,,,16.10.2019
Planá,,Územní plán,Územní plán Planá,89222352,18.01.2016,,,16.12.2019,,,,,,,,,27.11.2024
Převýšov,,Územní plán,Územní plán Převýšov,10180301,16.08.2019,,,03.09.2020,,,,,,,,,
Ctidružice,,Územní plán,Územní plán Ctidružice,2157230,24.04.2019,15.11.2019,,27.01.2020,,,,20.08.2020,13.10.2020,,04.05.2022,,23.12.2022
Věžky,,Územní plán,Územní plán Věžky,44327944,18.12.2002,12.09.2005,,22.12.2003,,,,,27.09.2007,,15.09.2008,29.04.2009,15.05.2009
Hradištko,,Územní plán,Územní plán Hradištko,1928348,14.08.2016,,,30.09.2019,,,,,,,,,
Bavory,,Územní plán,Územní plán Bavory,50684756,11.10.2016,15.01.2015,30.04.2019,25.06.2019,,,,,,,,,
Tochovice,,Územní plán,Územní plán Tochovice,69376772,12.12.2016,,,23.06.2017,,,,,,,,,31.08.2019
,Tochovice,Územní plán,Změna č. 1 ÚP Tochovice,973891950899,20.08.2021,,,,,,,,,,,,18.08.2022
,Tochovice,Územní plán,Změna č. 2 ÚP Tochovice,973891951033,29.07.2022,,,,,,,,,,,,24.11.2022
,Tochovice,Územní plán,Změna č. 3 ÚP Tochovice,973891953483,04.09.2023,,,,,,,,,,,,05.04.2024
,Tochovice,Územní plán,Změna č. 4 ÚP Tochovice,973891953484,04.09.2023,,,,,,,,,,,,05.04.2024
Tlustice,,Územní plán,Územní plán Tlustice,46987551,14.12.2017,,,31.10.2019,,,,,,,,,06.02.2024
Tupadly,,Územní plán,Územní plán Tupadly,17518253,27.02.2019,,,27.11.2019,,,,,,,,,18.12.2021
Fryšava pod Žákovou horou,,Územní plán,Územní plán Fryšava pod Žákovou horou,61570375,16.11.2018,,,16.09.2019,,,,,,,,,
Jezernice,,Územní plán,Územní plán Jezernice,24979800,03.09.2012,,,23.09.2019,,,,,,,,,06.10.2022
Drahobudice,,Územní plán,Územní plán Drahobudice,34310549,02.04.2007,,,14.12.2009,,,,,,,,,09.05.2013
Byšice,,Územní plán,Územní plán Byšice,30987185,11.12.2012,,,28.05.2013,,,,,,,,,03.10.2014
,Byšice,Územní plán,Změna č. 1 ÚP Byšice,3098718501,20.03.2018,,,20.03.2018,,,,,,,,,23.10.2018
,Byšice,Územní plán,Změna č. 2,3098718502,25.04.2019,,,,,,,,,01.12.2020,,,
,Byšice,Územní plán,Změna č. 3 ÚP Byšice - zkrácený postup,973891951994,09.11.2022,,,,,,,,,,,,11.09.2024
Klokočí,,Územní plán,Územní plán Klokočí,52713739,27.06.2012,,,11.07.2013,,,,,,,,,22.06.2016
,Klokočí,Územní plán,Změna č. 1 ÚP Klokočí,973891950141,,,,23.06.2021,,,,,,,,,
Hostašovice,,Územní plán,Územní plán Hostašovice,70029848,05.03.2009,11.11.2016,,21.12.2016,,,,,,,,,15.04.2022
Zdobín,,Územní plán,Územní plán Zdobín,47672671,11.02.2011,,,20.10.2013,,,,,,,,,30.07.2015
Šebestěnice,,Územní plán,Územní plán Šebestěnice,40024966,01.09.2011,,,29.03.2012,,,,,,,,,27.06.2013
Žandov,,Územní plán,Územní plán Žandov,28997439,22.08.2011,,,29.07.2013,,,,,,,,,
Přeštěnice,,Územní plán,Územní plán Přeštěnice,31051272,,,,,,,,,,,18.07.2012,26.10.2012,10.11.2012
,Přeštěnice,Územní plán,Změna č. 2 ÚP Přeštěnice,3105127202,18.09.2020,,,,,,,,,,,09.09.2022,28.09.2022
,Přeštěnice,Územní plán,Změna č. 1 ÚP Přeštěnice,3105127201,04.04.2014,,,25.06.2014,,,,,,,,,12.12.2015
Mackovice,,Územní plán,Územní plán Mackovice,80042665,22.09.2012,16.09.2013,16.10.2013,05.02.2015,,,,,15.06.2015,16.03.2016,14.01.2016,15.04.2016,03.05.2016
,Mackovice,Územní plán,Změna č.1,973891951740,25.05.2023,,,25.08.2023,,,,,17.06.2024,,,,13.12.2024
Žulová,,Územní plán,Územní plán Žulová,19915408,11.06.2012,,,23.09.2013,,,,,,,,,31.05.2017
Karlík,,Územní plán,Územní plán Karlík,81261842,14.04.2009,,,28.01.2020,,,,,,,,,14.07.2022
Hrobčice,,Územní plán,Územní plán Hrobčice,30373782,21.03.2013,,,23.06.2014,,,,,,,,,28.03.2022
Uherský Brod,,Územní plán,Územní plán Uherský Brod,39367312,25.04.2012,15.07.2015,22.10.2015,09.12.2015,,,,,14.12.2017,09.10.2023,30.06.2021,06.11.2023,22.11.2023
Kunějovice,,Územní plán,Územní plán Kunějovice,73693483,06.01.2012,06.08.2012,11.09.2012,14.09.2012,,,,12.01.2013,13.02.2013,12.01.2016,11.03.2015,12.02.2016,11.03.2016
Nevřeň,,Územní plán,Územní plán Nevřeň,88209168,23.01.2008,02.11.2010,03.12.2010,12.01.2011,,,,10.04.2012,10.05.2012,18.09.2013,02.07.2013,15.10.2013,31.10.2013
,Nevřeň,Územní plán,Změna č. 1,8820916801,12.04.2016,12.05.2016,20.05.2016,20.06.2016,,,,,,,,18.09.2023,01.11.2023
Skřipov,,Územní plán,Územní plán Skřipov,57026308,29.09.2012,,,20.08.2012,,,,,,,,,16.09.2016
,Skřipov,Územní plán,ÚP Skřipov - změna č. 1,5702630801,23.09.2020,,,,,,,,,,,,03.11.2021
,Skřipov,Územní plán,ÚP Skřipov - změna č. 2,973891952519,14.11.2022,,,,,,,,,,,,06.01.2023
Dolní Benešov,,Územní plán,Územní plán Dolní Benešov,13007755,29.10.2012,,,17.12.2015,,,,,,,,,11.07.2019
,Dolní Benešov,Územní plán,ÚP Dolní Benešov - změna č. 1,973891950304,,,,21.09.2021,,,,,,,,,18.07.2022
,Dolní Benešov,Územní plán,ÚP Dolní Benešov - změna č. 2,973891954263,,,,14.12.2023,,,,,,,,,25.12.2024
Hlučín,,Územní plán,Územní plán Hlučín,67420595,15.09.2011,,,07.06.2012,,,,,,,,,23.03.2017
,Hlučín,Územní plán,ÚP Hlučín - změna č. 2,6742059502,05.09.2019,,,14.08.2024,,,,,,,,,14.08.2024
,Hlučín,Územní plán,ÚP Hlučín - změna č. 3,6742059503,17.02.2022,,,,,,,,,,,,14.08.2024
,Hlučín,Územní plán,ÚP Hlučín - změna č. 1,6742059501,04.09.2018,,,,,,,,,,,,02.04.2022
,Hlučín,Územní plán,ÚP Hlučín - změna č. 4,973891954657,13.06.2024,,,,,,,,,,,,
Vendryně,,Územní plán,Územní plán Vendryně,51168459,22.04.2009,,,25.04.2012,,,,,,,,,04.11.2014
,Vendryně,Územní plán,ÚP Vendryně - změna č. 1A,5116845902,17.12.2014,,,23.09.2015,,,,,,,,,09.06.2017
,Vendryně,Územní plán,ÚP Vendryně - změna č. 2,5116845903,11.03.2020,,,11.03.2020,,,,,,,,,04.06.2024
,Vendryně,Územní plán,ÚP Vendryně - změna č. 2A,5116845904,11.12.2019,,,11.12.2019,,,,,,,,,14.04.2021
,Vendryně,Územní plán,ÚP Vendryně - změna č. 1,5116845901,17.12.2014,,,23.09.2015,,,,,,,,,27.10.2018
Libořice,,Územní plán,Územní plán Libořice,54725283,15.07.2020,,,21.04.2021,,,,,,,,,01.05.2025
Štěpánov,,Územní plán,Územní plán Štěpánov,1461429,04.06.2009,,,14.12.2011,,,,,,,,,19.03.2015
,Štěpánov,Územní plán,Změna č. 1 územního plánu Štěpánov,1461429001,31.01.2019,,,25.04.2019,,,,,,,,,16.06.2021
,Štěpánov,Územní plán,Změna č. 2 Územního plánu Štěpánov,973891952923,,,,21.09.2023,,,,,,,,,
Řehenice,,Územní plán,Územní plán Řehenice,71108209,06.06.2012,,,22.05.2013,,,,,,,,,27.03.2018
,Řehenice,Územní plán,Změna č. 1 ÚP Řehenice,973891954046,18.09.2024,,,,,,,,,,,,
Žerůtky,,Územní plán,Územní plán Žerůtky,6161136,01.08.2012,08.03.2013,11.04.2013,26.06.2013,,,,,29.10.2014,23.04.2015,10.02.2015,16.07.2015,01.08.2015
Kuchařovice,,Územní plán,Územní plán Kuchařovice,63003176,25.04.2012,14.02.2013,21.03.2013,24.04.2013,,,,,,,,13.05.2015,29.05.2015
Suchohrdly,,Územní plán,Územní plán Suchohrdly,25533694,20.06.2013,11.09.2012,12.10.2012,19.12.2012,,,,,15.06.2015,25.05.2016,04.01.2016,29.09.2016,19.10.2016
,Suchohrdly,Územní plán,Změna č. 1 ÚP Suchohrdly,2553369401,13.02.2022,,,13.02.2022,,,,,,28.08.2023,29.08.2023,29.01.2024,14.02.2024
Mochov,,Územní plán,Územní plán Mochova,31277102,18.10.2012,,,31.07.2013,,,,,,,,,22.10.2014
,Mochov,Územní plán,Změna č. 1,3127710201,14.12.2015,,,07.04.2016,,,,,,,,,21.10.2017
,Mochov,Územní plán,Změna č. 2,3127710202,20.06.2019,,,10.10.2019,,,,,,,,,17.10.2020
,Mochov,Územní plán,Změna č. 3,3127710203,15.04.2021,,,15.04.2021,,,,,,,,,06.10.2021
Bílá Voda,,Územní plán,Územní plán Bílá Voda,28484744,29.03.2012,,,21.08.2013,,,,,,,,,01.01.2016
Skorošice,,Územní plán,Územní plán Skorošice,5538578,07.03.2012,,,05.06.2013,,,,,,,,,06.10.2015
,Skorošice,Územní plán,Změna č. 1 ÚP Skorošice,5538578001,08.03.2017,,,15.12.2017,,,,,,,,,29.06.2022
Velké Kunětice,,Územní plán,Územní plán Velké Kunětice,77419679,03.05.2012,,,01.08.2013,,,,,,,,,27.05.2015
,Velké Kunětice,Územní plán,Změna č. 1 ÚP Velké Kunětice,973891951918,15.12.2022,,,15.12.2022,,,,,,,,,05.06.2024
Damníkov,,Územní plán,Územní plán Damníkov,90871827,25.03.2013,15.11.2013,,27.01.2014,,,,,,,,,09.08.2016
,Damníkov,Územní plán,Změna č. 2 ÚP Damníkov,9087182701,12.11.2020,,,26.02.2024,,,,,,,,,
,Damníkov,Územní plán,Změna č. 1 ÚP Damníkov,9087182702,12.12.2018,,,12.12.2018,,,,,,,,,11.09.2019
Boudy,,Územní plán,Územní plán Boudy,5675907,10.02.2019,,,28.12.2020,,,,,,09.07.2024,,,
Tálín,,Územní plán,Územní plán Tálín,97767274,10.04.2019,,,09.12.2020,,,,,,22.08.2024,,,
Dolní Zálezly,,Územní plán,Územní plán Dolní Zálezly,8050174,22.05.2017,,,16.12.2020,,,,,,,,,24.09.2024
Soběchleby,,Územní plán,Územní plán Soběchleby,48986452,15.03.2017,,,13.09.2017,,,,,,,,,02.01.2020
Drahlín,,Územní plán obce,Územní plán vojenského újezdu Brdy,62278383,17.07.2001,28.11.2002,28.04.2003,,02.12.2003,12.07.2004,,,,,15.08.2005,25.08.2005,
Tučapy,,Územní plán,Územní plán Tučapy,8459110,20.06.2018,19.12.2018,,25.01.2019,,,,,,,,16.03.2022,12.04.2022
Hrčava,,Územní plán,Územní plán Hrčava,42794436,03.10.2019,,,20.11.2019,,,,,,,,,17.07.2024
Skořice,,Územní plán,Územní plán Skořice,72393434,06.01.2020,,,21.09.2020,,,,,,,,,11.11.2024
Kakejcov,,Územní plán,Územní plán Kakejcov,93743096,16.12.2019,,,05.10.2020,,,,,,,,,13.03.2025
Kobylnice,,Územní plán,Územní plán Kobylnice,62136476,14.02.2019,,,06.02.2020,,,,,,,,,
Zálezlice,,Územní plán,Územní plán Zálezlice,43201846,22.12.2015,,,13.11.2017,,,,,,,,,27.11.2019
Mlýnské Struhadlo,,Územní plán,ÚP Mlýnské Struhadlo,80514161,31.07.2018,,,12.08.2019,,,,,,,,,29.07.2022
Chlumy,,Územní plán,Územní plán Chlumy,23873538,12.06.2019,,,17.01.2020,,,,,,,,,12.01.2023
Rodinov,,Územní plán,Územní plán Rodinov,11559261,28.02.2020,,,23.10.2020,,,,,,,,,13.02.2024
Našiměřice,,Územní plán,Územní plán Našiměřice,50631350,,16.09.2019,,21.11.2019,,,,,25.08.2020,,,16.12.2021,04.01.2022
Jinošov,,Územní plán,Územní plán Jinošov (nový),68577211,26.05.2021,,,01.09.2021,,,,,,,,,
Lhota u Příbramě,,Územní plán,Územní plán Lhota u Příbramě,3066654,07.06.2017,,,,,,,,,,,,28.02.2020
Lučany nad Nisou,,Územní plán,Územní plán Lučany nad Nisou,30445498,05.02.2007,,,13.05.2010,,,,,,,,,11.11.2016
,Lučany nad Nisou,Územní plán,Změna č. 2 ÚP Lučany nad Nisou,973891950754,17.06.2021,,,17.06.2021,,,,,,,,,17.12.2022
,Lučany nad Nisou,Územní plán,Změna č. 1 ÚP Lučany nad Nisou,973891954189,18.05.2023,,,18.05.2023,,,,,,,,,
Hrubý Jeseník,,Územní plán,Územní plán Hrubý Jeseník,40450251,23.05.2018,,,19.06.2019,,,,,,,,,
Bobnice,,Územní plán,Územní plán Bobnice,32343692,26.06.2019,,,27.11.2019,,,,,15.01.2021,,03.11.2021,22.02.2023,13.03.2023
Svinařov,,Územní plán,Územní plán Svinařov,73566835,19.09.2019,,,24.02.2021,,,,,,,,,03.01.2025
Horní Újezd,,Územní plán,Územní plán Horní Újezd (nový),58018129,29.01.2020,,,29.03.2021,,,,,,,,,21.06.2023
Kladruby,,Územní plán,Územní plán Kladruby,71177309,27.05.2020,15.11.2021,,26.01.2022,,,,,,,,,
Silůvky,,Územní plán,Územní plán Silůvky,17835200,08.03.2017,13.03.2020,24.06.2020,03.12.2020,,,,,,,,06.03.2024,24.03.2024
Oskořínek,,Územní plán,Územní plán Oskořínek,1799739,16.11.2018,,,19.08.2019,,,,,,,,,15.06.2021
Vážany,,Územní plán,Územní plán Vážany,27589053,21.01.2020,07.05.2020,10.06.2020,16.06.2020,,,,,,,,18.06.2024,06.07.2024
Rohy,,Územní plán,Územní plán Rohy,44913226,12.06.2019,,,10.12.2020,,,,,,,,,23.02.2024
Křelovice,,Územní plán,Územní plán Křelovice,7503910,21.03.2017,,,16.02.2021,,,,,,,,,
Kaničky,,Územní plán,Územní plán Kaničky,12678165,29.07.2019,,,25.06.2020,,,,,,,,10.12.2021,30.12.2021
,Kaničky,Územní plán,Změna č.1 územního plánu Kaničky,973891954311,09.02.2024,,,23.02.2024,,,,,,,,26.09.2024,14.10.2024
Kozlov,,Územní plán,Územní plán Kozlov (nový),63238161,17.10.2018,,,11.02.2019,,,,,,,,,19.06.2021
Zalužany,,Územní plán,Územní plán Zalužany,40961855,04.07.2019,,,30.01.2020,,,,,,,,18.02.2021,05.03.2021
Moravecké Pavlovice,,Územní plán,Územní plán Moravecké Pavlovice,57036334,17.12.2018,,,28.03.2019,,,,,,,,,15.12.2024
Pohled,,Územní plán,Územní plán Pohled,61257570,,,,27.06.2018,,,,,,,,,04.03.2022
,Pohled,Územní plán,Změna č. 1 ÚP Pohled,973891953163,31.05.2023,,,31.05.2023,,,,,,,,,17.04.2024
Brtnička,,Územní plán,Územní plán Brtnička,67994325,14.08.2019,,,18.03.2020,,,,,,,,,30.09.2022
Vír,,Územní plán,Územní plán Vír,60779535,,,,30.03.2020,,,,,,,,,
Jamolice,,Územní plán,Územní plán Jamolice,46386355,,,,26.04.2013,,,,,06.06.2013,,06.11.2013,24.01.2014,18.02.2014
,Jamolice,Územní plán,Změna č. 2 ÚP Jamolice,4638635502,,16.10.2019,,13.12.2019,,,,,29.01.2020,,,30.06.2020,17.07.2020
,Jamolice,Územní plán,Změna č. 1 ÚP Jamolice,4638635501,,,,28.04.2017,,,,,14.08.2017,,,29.11.2017,16.12.2017
Kbelnice,,Územní plán,Územní plán Kbelnice,14461917,20.02.2012,,,15.12.2014,,,,,,,,,
Bačalky,,Územní plán,Územní plán Bačalky,7452030,26.08.2011,,,21.09.2012,,,,,,,,,15.07.2014
,Bačalky,Územní plán,Změna č. 1 ÚP Bačalky,7452030001,09.10.2014,,,30.11.2015,,,,,,,,,09.07.2016
Veselíčko,,Územní plán,Územní plán Veselíčko,18346805,04.04.2012,,,09.10.2012,,,,,,,,,03.12.2013
,Veselíčko,Územní plán,Změna č. 1 ÚP Veselíčko,1834680501,01.06.2016,,,07.09.2016,,,,,,,,,20.04.2018
Dubenec,,Územní plán,Územní plán Dubenec,40011233,15.08.2013,,,06.04.2016,,,,,,,,,06.12.2017
,Dubenec,Územní plán,Změna č. 1 ÚP Dubenec,973891953361,,,,29.02.2024,,,,,,,,,
Dobročkovice,,Územní plán,Územní plán Dobročkovice,89748780,21.12.2011,06.03.2012,10.04.2012,11.04.2012,,,,01.03.2013,11.04.2013,21.11.2013,26.11.2013,05.12.2013,30.12.2013
Kozárovice,,Územní plán,Územní plán Kozárovice,79215203,,,,,,,,,,,,20.09.2010,
,Kozárovice,Územní plán,Změna č. 1,7921520301,12.11.2010,,,13.06.2012,,,,,,,,,11.12.2013
,Kozárovice,Územní plán,Změna č. 2 ÚP Kozárovice,7921520302,24.02.2016,,,31.05.2017,,,,,,,,,05.01.2019
,Kozárovice,Územní plán,Změna č. 3 ÚP Kozárovice,973891951397,24.11.2021,,,02.11.2022,,,,,,,,,31.03.2023
Újezd pod Troskami,,Územní plán,Územní plán Újezd pod Troskami,29342288,15.06.2011,,,23.04.2012,,,,,,,,,31.05.2017
,Újezd pod Troskami,Územní plán,Změna č. 1 ÚP Újezd pod Troskami,2934228801,07.08.2017,,,,,,,,,,,,12.07.2018
,Újezd pod Troskami,Územní plán,Změna č. 2 ÚP Újezd pod Troskami,973891952826,19.12.2022,,,19.12.2022,,,,,,,,,29.12.2023
Úžice,,Územní plán,Územní plán Úžice,68182008,29.06.2021,,,17.03.2022,,,,,,,,,
Oskava,,Územní plán,Územní plán Oskava,55654543,31.08.2017,,,05.09.2019,,,,,,,,,08.05.2022
,Oskava,Územní plán,Změna č. 1 ÚP Oskava,973891954140,09.03.2023,,,,,,,,,,,,08.10.2024
Boletice,,Územní plán,Územní plán vojenského újezdu Boletice,34591311,02.12.2019,,,12.03.2020,,,,,,,,,27.01.2022
Borovnice,,Územní plán,Uzemní plán Borovnice (nový),10784114,02.11.2021,,,,,,,,,,,,
Jakubov u Moravských Budějovic,,Územní plán,Územní plán Jakubov u Moravských Budějovice,33074588,09.11.2021,,,07.06.2022,,,,,,,,,28.12.2023
Roseč,,Územní plán,Územní plán Roseč,14915103,11.08.2021,,,09.02.2022,,,,,,,,06.11.2024,28.11.2024
Horní Řasnice,,Územní plán,Územní plán Horní Řasnice,13564265,11.06.2024,,,,,,,,,,,,
Dolní Řasnice,,Územní plán,Územní plán Dolní Řasnice,23417300,29.04.2024,,,,,,,,,,,,
Libhošť,,Územní plán,Územní plán Libhošť,34980410,05.09.2013,,,,,,,,,,,,
Rybí,,Územní plán,Územní plán Rybí,15183658,06.02.2013,,,17.09.2014,,,,,,,,,02.11.2017
Hynčina,,Územní plán,Územní plán Hynčina,81081788,15.02.2012,,,27.11.2013,,,,,,,,01.02.2016,17.02.2016
Příčina,,Územní plán,Územní plán Příčina,72665041,14.07.2013,21.11.2013,,27.02.2014,,,,,29.05.2014,,15.08.2014,15.12.2014,30.12.2014
,Příčina,Územní plán,Změna č. 1 ÚP Příčina,973891952439,,,,18.10.2023,,,,,,,,,
Radim,,Územní plán,Územní plán Radim,99366395,30.09.2009,,,27.06.2012,,,,,,,,,23.06.2017
Konecchlumí,,Územní plán,Územní plán Konecchlumí,12981815,24.05.2012,,,30.05.2013,,,,,,,,,30.06.2016
,Konecchlumí,Územní plán,Změna č. 1 ÚP Konecchlumí,973891950510,,,,28.04.2022,,,,,,,,,06.01.2024
,Konecchlumí,Územní plán,Změna č. 2 ÚP Konecchlumí,973891953252,,,,19.03.2024,,,,,,,,,
Třtěnice,,Územní plán,Územní plán Třtěnice,54024469,23.01.2012,,,03.06.2013,,,,,,,,,28.09.2016
Potěhy,,Územní plán,Územní plán Potěhy,20690555,09.11.2011,,,22.08.2012,,,,,,,,,28.11.2013
Boharyně,,Územní plán,Územní plán Boharyně,94402711,12.01.2011,,,11.12.2013,,,,,,,,,25.03.2017
,Boharyně,Územní plán,Změna č. 1 ÚP Boharyně,9440271101,13.11.2019,,,13.11.2019,,,,,,,,,10.12.2020
Bystřice,,Územní plán,Územní plán Bystřice,53573244,19.01.2012,,,23.05.2013,,,,,,,,,09.12.2017
Řeřichy,,Územní plán,Územní plán Řeřichy,59230768,10.04.2010,,,,,,,,,,,,
Čáslav,,Územní plán,Územní plán Čáslav,6866092,20.06.2011,14.09.2011,,12.12.2011,,06.11.2012,,,,,13.01.2014,,07.01.2015
,Čáslav,Územní plán,Změna č. 1,6866092001,24.04.2017,,,23.04.2018,,,,,,,,,08.10.2019
,Čáslav,Územní plán,Změna č. 2,6866092002,09.12.2019,,,09.12.2019,,,,,,,,,27.02.2021
,Čáslav,Územní plán,Změna č. 4 ÚP Čáslav,973891950530,08.02.2021,,,,,,,,,,,,14.07.2022
,Čáslav,Územní plán,Změna č. 5 ÚP Čáslav,973891954005,20.06.2022,,,06.02.2023,,,,,,,,,28.06.2024
Šípy,,Územní plán,Územní plán Šípy,59254091,15.12.2010,31.10.2011,,16.12.2011,,,,,23.10.2014,,12.10.2015,09.06.2017,27.06.2017
,Šípy,Územní plán,Změna č. 1 ÚP Šípy,5925409101,,,,10.12.2021,,,,,,,,,04.04.2023
Bartošovice,,Územní plán,Územní plán Bartošovice,58864992,04.03.2009,,,29.01.2014,,,,,,,,,08.01.2018
,Bartošovice,Územní plán,ÚP Bartošovice - změna č. 1,5886499201,,,,29.06.2022,,,,,,,,,08.11.2024
Dobrá,,Územní plán,Územní plán Dobrá,69959657,25.06.2012,,,10.03.2014,,,,,,,,,04.10.2017
Horní Lhota,,Územní plán,Územní plán Horní Lhota,42458743,15.01.2014,05.02.2014,06.03.2014,07.03.2014,,,,03.12.2014,05.01.2015,29.07.2015,20.07.2015,23.09.2015,09.10.2015
,Horní Lhota,Územní plán,Změna č.1 ÚP horní Lhota,4245874301,26.11.2018,,,26.11.2018,,,,15.04.2019,29.04.2019,24.06.2019,09.07.2019,09.09.2019,26.09.2019
,Horní Lhota,Územní plán,Změna č. 2 - ÚP Horní Lhota,973891952787,,,,07.09.2021,,,,19.12.2022,16.01.2023,,24.05.2023,19.06.2023,10.07.2023
Libuň,,Územní plán,Územní plán Libuň,33903140,22.06.2011,,,23.09.2015,,,,,,,,,01.10.2021
Janovice,,Územní plán,Územní plán Janovice,3765071,18.02.2010,,,16.12.2011,,,,,,,,,31.12.2013
,Janovice,Územní plán,ÚP Janovice - změna č. 1,3765071001,,,,08.06.2018,,,,,,,,,17.09.2022
Fryčovice,,Územní plán,Územní plán Fryčovice,69736444,05.10.2011,,,09.10.2013,,,,,,,,,27.11.2015
,Fryčovice,Územní plán,ÚP Fryčovice - změna č. 1,973891954503,,,,23.09.2020,,,,,,,,,25.04.2024
Strání,,Územní plán,Územní plán Strání,78637330,21.12.2011,11.10.2013,03.12.2013,31.01.2014,,,,15.01.2015,22.01.2015,,23.11.2015,10.03.2017,30.03.2017
,Strání,Územní plán,Změna č. 1 ÚP Strání,7863733002,24.04.2020,03.02.2020,04.03.2020,24.04.2020,,,,01.07.2021,28.07.2021,07.09.2021,07.12.2021,28.01.2022,15.02.2022
Palonín,,Územní plán,Územní plán Palonín,31805056,29.03.2012,,,20.12.2013,,,,,,,,,03.11.2015
,Palonín,Územní plán,Změna č. 1 ÚP Palonín,3180505601,13.06.2019,,,13.06.2019,,,,,,,,,28.11.2022
Bačetín,,Územní plán,Územní plán Bačetín,92771546,25.11.2013,,,03.11.2014,,,,,,,,,04.07.2017
,Bačetín,Územní plán,Změna č. 1 ÚP Bačetín,9277154601,13.01.2021,,,13.01.2021,,,,,,,,,31.12.2021
